Region,SensorID,Cobbles
CVAH_L1,[1:14],[]
Pinch_Roll_L1,[1:14],[]
CVAH_L1,[1:15],[]
Pinch_Roll_L1,[1:15],[]
CVAH_L1,[1:16],[]
Pinch_Roll_L1,[1:16],[]
CVR_L1,[1:17],[]
Pinch_Roll_L1,[1:17],[]
CVR_L1,[1:18],"[(Timestamp('2023-07-11 00:04:16.620000'), Timestamp('2023-07-11 00:04:17.620000')), (Timestamp('2023-07-11 00:04:20.620000'), Timestamp('2023-07-11 00:04:21.620000')), (Timestamp('2023-07-11 00:04:22.620000'), Timestamp('2023-07-11 00:04:23.620000'))]"
Pinch_Roll_L1,[1:18],"[(Timestamp('2023-07-11 00:04:16.620000'), Timestamp('2023-07-11 00:04:17.620000')), (Timestamp('2023-07-11 00:04:20.620000'), Timestamp('2023-07-11 00:04:21.620000')), (Timestamp('2023-07-11 00:04:22.620000'), Timestamp('2023-07-11 00:04:23.620000'))]"
CVR_L1,[1:19],"[(Timestamp('2023-07-11 00:04:10.620000'), Timestamp('2023-07-11 00:04:11.620000')), (Timestamp('2023-07-11 00:04:11.620000'), Timestamp('2023-07-11 00:04:12.620000')), (Timestamp('2023-07-11 00:04:12.620000'), Timestamp('2023-07-11 00:04:13.620000')), (Timestamp('2023-07-11 00:04:13.620000'), Timestamp('2023-07-11 00:04:14.620000')), (Timestamp('2023-07-11 00:04:14.620000'), Timestamp('2023-07-11 00:04:15.620000')), (Timestamp('2023-07-11 00:04:15.620000'), Timestamp('2023-07-11 00:04:16.620000')), (Timestamp('2023-07-11 00:04:18.620000'), Timestamp('2023-07-11 00:04:19.620000')), (Timestamp('2023-07-11 00:04:19.620000'), Timestamp('2023-07-11 00:04:20.620000')), (Timestamp('2023-07-11 00:04:23.620000'), Timestamp('2023-07-11 00:04:24.620000')), (Timestamp('2023-07-11 00:04:24.620000'), Timestamp('2023-07-11 00:04:25.620000')), (Timestamp('2023-07-11 00:04:25.620000'), Timestamp('2023-07-11 00:04:26.620000')), (Timestamp('2023-07-11 00:04:27.620000'), Timestamp('2023-07-11 00:04:28.620000'))]"
Pinch_Roll_L1,[1:19],"[(Timestamp('2023-07-11 00:04:10.620000'), Timestamp('2023-07-11 00:04:11.620000')), (Timestamp('2023-07-11 00:04:11.620000'), Timestamp('2023-07-11 00:04:12.620000')), (Timestamp('2023-07-11 00:04:12.620000'), Timestamp('2023-07-11 00:04:13.620000')), (Timestamp('2023-07-11 00:04:13.620000'), Timestamp('2023-07-11 00:04:14.620000')), (Timestamp('2023-07-11 00:04:14.620000'), Timestamp('2023-07-11 00:04:15.620000')), (Timestamp('2023-07-11 00:04:15.620000'), Timestamp('2023-07-11 00:04:16.620000')), (Timestamp('2023-07-11 00:04:18.620000'), Timestamp('2023-07-11 00:04:19.620000')), (Timestamp('2023-07-11 00:04:19.620000'), Timestamp('2023-07-11 00:04:20.620000')), (Timestamp('2023-07-11 00:04:23.620000'), Timestamp('2023-07-11 00:04:24.620000')), (Timestamp('2023-07-11 00:04:24.620000'), Timestamp('2023-07-11 00:04:25.620000')), (Timestamp('2023-07-11 00:04:25.620000'), Timestamp('2023-07-11 00:04:26.620000')), (Timestamp('2023-07-11 00:04:27.620000'), Timestamp('2023-07-11 00:04:28.620000'))]"
CVR_L1,[1:20],[]
Pinch_Roll_L1,[1:20],[]
CVR_L1,[1:21],[]
